link,query,name,industry,description,website,size,logo,linkedinID,employeesOnLinkedIn,RelatedCompany1LinkedInURL,RelatedCompany1Name,RelatedCompany1Sector,RelatedCompany1EmployeesRange,RelatedCompany2LinkedInURL,RelatedCompany2Name,RelatedCompany2Sector,RelatedCompany2EmployeesRange,RelatedCompany3LinkedInURL,RelatedCompany3Name,RelatedCompany3Sector,RelatedCompany3EmployeesRange,RelatedCompany4LinkedInURL,RelatedCompany4Name,RelatedCompany4Sector,RelatedCompany4EmployeesRange,RelatedCompany5LinkedInURL,RelatedCompany5Name,RelatedCompany5Sector,RelatedCompany5EmployeesRange,RelatedCompany6LinkedInURL,RelatedCompany6Name,RelatedCompany6Sector,RelatedCompany6EmployeesRange,timestamp,location,specialities,yearFounded
https://www.linkedin.com/company/ace-radio,https://www.linkedin.com/company/ace-radio,Ace Radio,Broadcast Media,"We broadcast a wide variety of presenter led programmes featuring music from the last few decades and some of today's hits too.  Also look out for a few specialist music shows which we have in the pipeline.

Our output is aimed at the 25 - 54 age group and our output will at all times be family entertainment.  

We are fully licensed with PPL and PRS For Music",http://www.aceradio.co.uk/,11-50 employees,https://media.licdn.com/dms/image/C4E0BAQEOaVIclp9jJw/company-logo_200_200/0?e=1548288000&v=beta&t=HE68KGbgo9eLju7E0jKeCNOnkqFN0F56kx9gfWWQjiE,455008,67,https://www.linkedin.com/company/ace-radio-broadcasters-pty-ltd/,ACE Radio Broadcasters Pty Ltd,,51-200 employees,https://www.linkedin.com/company/dmg-radio-australia/,NOVA Entertainment,,"501-1,000 employees",https://www.linkedin.com/company/southern-cross-austereo/,Southern Cross Austereo,,"1,001-5,000 employees",https://www.linkedin.com/company/grant-broadcasting/,Grant Broadcasters,,"501-1,000 employees",https://www.linkedin.com/company/riverine-herald/,Riverine Herald,,none,https://www.linkedin.com/company/blended-employment/,Blended Employment,,11-50 employees,2018-10-23T04:05:59.091Z
https://www.linkedin.com/company/altium,https://www.linkedin.com/company/altium,Altium®,Computer Software,"When it comes to electronics design, Altium is a technological leader in developing truly unified PCB solutions, and has over 30 years of experience in bringing designers the tools they need to help them make the most of modern technologies, successfully manage projects, and deliver connected, intelligent products. Altium is dedicated to creating the tools that bring a truly unified design experience to PCB designers, that seamlessly assist design teams during the entire electronics design process - from idea to manufacturing.",https://www.altium.com/,"501-1,000 employees",https://media.licdn.com/dms/image/C510BAQF10HvTwTuJJw/company-logo_200_200/0?e=1548288000&v=beta&t=i35M9oa8aiPjBVh8xUkK-1nNGr9ShT1zBnaGyA0E5lY,"11855,15263358,15263359,15262513,15264900",652,https://www.linkedin.com/company/cadence-design-systems/,Cadence Design Systems,,"5,001-10,000 employees",https://www.linkedin.com/company/mentor_graphics/,Mentor Graphics,,"1,001-5,000 employees",https://www.linkedin.com/company/autodesk/,Autodesk,,"5,001-10,000 employees",https://www.linkedin.com/company/texas-instruments/,Texas Instruments,,"10,001+ employees",https://www.linkedin.com/company/google/,Google,,"10,001+ employees",https://www.linkedin.com/company/cadenceorcad/,OrCAD,,"5,001-10,000 employees",2018-10-23T04:06:01.009Z,"La Jolla, California","EDA Software, NanoBoard HW Platform, Tasking and Embedded Software, ePDM / ePLM data management, PCB Design Software, ECAD / CAD / CAM, Embedded Application Development Tools, ECAD, Electronics Design Tools, PCB Design Tools, and Printed Circuit Board Design",1985
https://www.linkedin.com/company/alumina-limited,https://www.linkedin.com/company/alumina-limited,Alumina Limited,Mining & Metals,,,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1492259,136,https://www.linkedin.com/company/alumina/,Alumina,,none,https://www.linkedin.com/company/queensland-alumina-ltd/,Queensland Alumina Limited,,"1,001-5,000 employees",https://www.linkedin.com/company/alumina-technologies-inc/,"Alumina Technologies, Inc.",,11-50 employees,https://www.linkedin.com/company/alcoa/,Alcoa,,"10,001+ employees",https://www.linkedin.com/company/alumina-railing-products-inc-/,"Alumina Railing Products, Inc.",,11-50 employees,https://www.linkedin.com/company/jgs-asociados/,JGS & Asociados,,11-50 employees,2018-10-23T04:06:02.749Z,,,
https://www.linkedin.com/company/ansarada,https://www.linkedin.com/company/ansarada,Ansarada,Information Technology and Services,"Ansarada is a founder led, fast growth global technology company on a mission to raise and protect potential.

Since 2005, we have helped the world’s leading investors, advisors and corporates close more than 20,000 deals, the insights from which have been used to design a suite of world-first AI tools, purpose-built for material events.

A business is in its best shape at the end of a deal

With this in mind, we launched the world's first Material Information Platform, the missing link that optimizes how businesses are run and how deals get done. It’s the only place companies and their advisors, can concurrently improve how they operate and get ready for success in any material event. The ‘always on’ Platform uses a scorecard system to identify risks and opportunities in as little as fifteen minutes, giving companies and their advisors crucial insights into the business, and enabling them to accelerate deals, automate tasks, unlock value, reduce risk, and make decisions with certainty.


Disruption is in our DNA

We see ourselves as pioneers in the business development and material event spaces, getting businesses ready for inevitable disruption. Our mission to raise and protect potential recently helped us rank in Australia’s Top 20 most innovative businesses in the Westpac Businesses of Tomorrow awards.",http://ansarada.com/,51-200 employees,https://media.licdn.com/dms/image/C4E0BAQHLUgxsHw1LXg/company-logo_200_200/0?e=1548288000&v=beta&t=xB7vfcHoB-ZAvmmsdr5qnUE7yZ_ytZ30_316eQYnlWc,486839,248,https://www.linkedin.com/company/atlassian/,Atlassian,,"1,001-5,000 employees",https://www.linkedin.com/company/canva/,Canva,,201-500 employees,https://www.linkedin.com/company/salesforce/,Salesforce,,"10,001+ employees",https://www.linkedin.com/company/intuit/,Intuit,,"5,001-10,000 employees",https://www.linkedin.com/company/envato/,Envato,,201-500 employees,https://www.linkedin.com/company/adobe/,Adobe,,"10,001+ employees",2018-10-23T04:06:05.074Z,"The Rocks, Sydney, NSW","Virtual data rooms, Due diligence, Mergers and Acquisitions, M&A, Online data rooms, Data sites, Software, Software as a Service, Data sharing , SaaS, Venture capital, Capital expansion, Private equity, Fundraising, Business tools, Initial public offering, Artificial Intelligence, Machine Learning, Corporate Finance, and Transaction Facilitation",2005
https://www.linkedin.com/company/arnotts,https://www.linkedin.com/company/arnotts,Arnotts,Retail,"Arnotts is Ireland’s oldest and largest department store. We opened our decorative, brass-clad doors way back in 1843 and have since developed the premises into the 300,000 sq.ft store we know and love today.

We offer a unique shopping experience to customers, stocking over 700 international brands and 100 Irish craft brands. Behind this unique experience is a team of almost 1,000 people who are passionate about their role in the company and excited about the future of the historic Arnotts brand.

In 2015 Arnotts joined the globally renowned Selfridges Group, Arnotts is now an integral member of the award winning international portfolio of unique, and iconic department stores across the world. 


A career at Arnotts is an illustrious journey where you can embrace innovation, nurture creativity, progress with every opportunity and take pride in a rich heritage. Delivering impeccable customer service is no easy task but it’s something we value above all at Arnotts. 


Whether you’re searching for a new career path, looking for information on different departments at Arnotts and the opportunities within them, if you want to know what it’s like to work here or are researching a step-by-step guide to the recruitment process – you’ll find the answers to all your questions  on our careers page www.arnottscareers.com",http://www.arnotts.ie/,"501-1,000 employees",https://media.licdn.com/dms/image/C560BAQEWvbrXMCjgug/company-logo_200_200/0?e=1548288000&v=beta&t=LmS_4j_E45-6D7SQ69JLmuwCtnn0Ll0Aq5rtje-qo0Q,500281,543,https://www.linkedin.com/company/brown-thomas/,Brown Thomas,,"1,001-5,000 employees",https://www.linkedin.com/company/dunnes-stores/,Dunnes Stores,,"10,001+ employees",https://www.linkedin.com/company/primark-stores-ltd/,Primark Stores Limited,,"10,001+ employees",https://www.linkedin.com/company/arnott's-biscuits-australia/,ARNOTT'S BISCUITS AUSTRALIA,,none,https://www.linkedin.com/company/campbellarnotts/,Campbell Arnott's,,"1,001-5,000 employees",https://www.linkedin.com/company/life-style-sports/,Life Style Sports,,"501-1,000 employees",2018-10-23T04:06:07.608Z,Dublin 1,,1843
https://www.linkedin.com/company/arrium,https://www.linkedin.com/company/arrium,Arrium,Mining & Metals,"On the 31st August 2017 Arrium Limited was acquired by GFG Alliance. 

GFG Alliance is an international grouping of businesses, founded by the British Gupta Family. The Alliance’s integrated business model encompasses mining, energy generation, metals and engineering, underpinned by industry-friendly financial services, a substantial property portfolio and a skills and education-focused charitable foundation.",http://www.arrium.com/,"10,001+ employees",https://media.licdn.com/dms/image/C4E0BAQGQAjoTO0GSLA/company-logo_200_200/0?e=1548288000&v=beta&t=g-qCIwFLVwduyA8oFYO3GiaWAdFcCf0Gjhi63ptyYJY,"22551,2641195,2641196,2542988",1668,https://www.linkedin.com/company/gfg-alliance-australia/,GFG Alliance - Australia,,"10,001+ employees",https://www.linkedin.com/company/libertyaustralia/,Liberty - Australia,,"5,001-10,000 employees",https://www.linkedin.com/company/onesteel/,OneSteel,,"1,001-5,000 employees",https://www.linkedin.com/company/arrium-mining/,Arrium Mining,,"1,001-5,000 employees",https://www.linkedin.com/company/moly-cop/,Moly-Cop,,"1,001-5,000 employees",https://www.linkedin.com/company/gfg-alliance/,GFG Alliance,,"5,001-10,000 employees",2018-10-23T04:06:09.936Z,"St Leonards, NSW","Steel manufacturing, Steel distribution, Steel recycling, Mining, Iron Ore, and Steelmaking",2000
https://www.linkedin.com/company/atlassian,https://www.linkedin.com/company/atlassian,Atlassian,Computer Software,"Atlassian is a leading provider of collaboration, development, and issue tracking software for teams. With over 100,000 global customers (including 85 of the Fortune 100), we’re advancing the power of collaboration with products including Jira, Jira Service Desk, Jira Ops, Confluence, Bitbucket, Trello, and more. Driven by honest values, an amazing culture, and consistent revenue growth, we’re out to unleash the potential of every team. 

For more information, visit https://www.atlassian.com/company",http://www.atlassian.com/,"1,001-5,000 employees",https://media.licdn.com/dms/image/C4E0BAQH8sB-wrgK5iQ/company-logo_200_200/0?e=1548288000&v=beta&t=DS1g-jheruRueZ8gFxrgUgbyY3IfYzlY6dX5HCxUa2A,"22688,2741068",3278,https://www.linkedin.com/company/canva/,Canva,,201-500 employees,https://www.linkedin.com/company/google/,Google,,"10,001+ employees",https://www.linkedin.com/company/salesforce/,Salesforce,,"10,001+ employees",https://www.linkedin.com/company/amazon/,Amazon,,"10,001+ employees",https://www.linkedin.com/company/microsoft/,Microsoft,,"10,001+ employees",https://www.linkedin.com/company/tiny-speck-inc/,Slack,,"1,001-5,000 employees",2018-10-23T04:06:14.273Z,"Sydney, NSW","b2b enterprise software, bug tracker, issue tracker, enterprise wiki, corporate wiki, business wiki, team collaboration, project management, and downtime communication",2002
https://www.linkedin.com/company/austal-,https://www.linkedin.com/company/austal-,Austal,Shipbuilding,"Austal is an Australian shipbuilder and global defence prime contractor which designs, constructs and sustains some of the world’s most advanced commercial and defence vessels.

Austal successfully balances commercial and defence projects and celebrates 30 years of success in 2018.  Austal has designed, constructed and delivered more than 300 commercial and defence vessels for more than 100 operators in 54 countries worldwide.

Austal is Australia’s largest defence exporter and the only ASX-listed shipbuilder. Austal has industry leading shipyards in Australia, the United States of America and Philippines and service centres worldwide. 

Austal delivers iconic monohull, catamaran and trimaran commercial vessel platforms – including the world’s largest trimaran ferry and multiple defence programs such as the Littoral Combat Ship (LCS) and Expeditionary Fast Transport (EPF) for the United States Navy. Austal has grown to become the world’s largest aluminium shipbuilder.",http://www.austal.com/,"5,001-10,000 employees",https://media.licdn.com/dms/image/C560BAQFSQCCFh0A2cA/company-logo_200_200/0?e=1548288000&v=beta&t=QOULeR8R2gGkrLpES4wLDWH0c1kIIOk7CVKqfq4SgOs,73056,1597,,,,,,,,,,,,,,,,,,,,,,,,,2018-10-23T04:06:18.821Z,"Henderson, Western Australia","Shipbuilding, Ship Repairs, In Service Support, Systems, Defence, Cape Class Patrol Boat, Passenger Ferries, Vehicle Passenger Ferries, High Speed Support Vessels, Offshore Patrol Vessels, Expeditionary Fast Transport (EPF), Littoral Combat Ship (LCS), technology, naval design, naval architecture , digital design, and research and development",1988
https://www.linkedin.com/company/austrian-airlines,https://www.linkedin.com/company/austrian-airlines,Austrian Airlines,Airlines/Aviation,"Wer sind wir?

Wir sind Österreichs größte Fluggesellschaft und betreiben ein weltweites Streckennetz von 130 Destinationen. Seit 2009 sind wir Teil der Lufthansa Gruppe, dem größten Airline Verbund Europas sowie Mitglied der Star Alliance, dem ersten weltumspannenden Verbund internationaler Fluggesellschaften. Mit ca. 6.300 Mitarbeitern/-innen aus über 60 Nationen verfolgen wir ein gemeinsames Ziel – unseren Fluggästen ein unvergessliches Reiseerlebnis zu bereiten. Die Luftfahrtbranche ist ein dynamisches Unternehmensumfeld, in dem wir stets gefordert sind agil und flexibel zu agieren.

Wofür stehen wir?

Wir sind die österreichische Fluglinie mit preisgekröntem Service und österreichischer Gastfreundschaft mit Flügen zu verschiedensten Destinationen weltweit. Wir bieten einen hohen Level an Kompetenz und Qualitätsstandards entlang unseres breiten Produktspektrums, am Boden sowie an Bord.",http://www.austrian.com/karriere,"5,001-10,000 employees",https://media.licdn.com/dms/image/C4E0BAQEpk_ahgxeSDg/company-logo_200_200/0?e=1548288000&v=beta&t=fNy4xr0mFzVt0XiU9O8IiMDebbx4PWTFMNQJzJ5--vY,162588,2317,https://www.linkedin.com/company/lufthansa/,Lufthansa,,"10,001+ employees",https://www.linkedin.com/company/swiss-international-air-lines/,Swiss International Air Lines,,"5,001-10,000 employees",https://www.linkedin.com/company/emirates/,Emirates,,"10,001+ employees",https://www.linkedin.com/company/qatar-airways/,Qatar Airways,,"10,001+ employees",https://www.linkedin.com/company/etihadairways/,Etihad Airways,,"10,001+ employees",https://www.linkedin.com/company/klm/,KLM Royal Dutch Airlines,,"10,001+ employees",2018-10-23T04:06:20.651Z,Vienna,,
https://www.linkedin.com/company/australian-broadcasting-corporation,https://www.linkedin.com/company/australian-broadcasting-corporation,Australian Broadcasting Corporation (ABC),Broadcast Media,"As the nation’s independent public broadcaster, the ABC is proud to be the source of Australian conversations, culture and stories and of high quality content that enriches the lives of all Australians.

The ABC is recognised as Australia’s pre-eminent provider of independent news and current affairs and Australian drama, comedy and children’s content, as well as providing the nation with quality programming on important topics such as science, arts, education and rural issues.

The ABC’s services are freely available across Australia and are delivered across radio, television, online and mobile, allowing audiences to choose to watch, listen or play ABC content at their convenience.

With national radio networks as diverse as triple j, RN and Classic FM, as well as local radio, and digital radio service, four television channels, iview- Australia’s most popular video-on-demand television service- and with numerous websites and mobile apps, the ABC shares Australian stories with the nation and the world.",http://abc.net.au/,"1,001-5,000 employees",https://media.licdn.com/dms/image/C4E0BAQEFcCNAAvCsdg/company-logo_200_200/0?e=1548288000&v=beta&t=yvJBO2kMq1JBjXQ3BmvU1Euwkx3YraEOT2bpnKjZZOo,2242,4259,https://www.linkedin.com/company/nine-entertainment-co./,Nine Entertainment Co.,,"1,001-5,000 employees",https://www.linkedin.com/company/network-ten/,Network Ten,,"1,001-5,000 employees",https://www.linkedin.com/company/special-broadcasting-service-sbs-australia/,Special Broadcasting Service (SBS) Australia,,"1,001-5,000 employees",https://www.linkedin.com/company/seven-network-limited/,Seven Network,,"1,001-5,000 employees",https://www.linkedin.com/company/abc-news/,ABC News,,"1,001-5,000 employees",https://www.linkedin.com/company/australia-post/,Australia Post,,"10,001+ employees",2018-10-23T04:06:22.719Z,"Ultimo, NSW",Broadcasting and Digital,1932
https://www.linkedin.com/company/awb,https://www.linkedin.com/company/awb,AWB,Consumer Goods,"The AWB Group aims to be Australia's leading agribusiness with strong positions in grain trading, rural and financial services.

AWB was previously the monopoly wheat exporter for Australia.   AWB operations predominantly in Australia, with grain trading operations in Geneva, Brasil and India.   

AWB owns Landmark, a leading agribusiness company, which offers merchandise, fertiliser, farm services, wool, livestock, finance, insurance and real estate to Australian primary producers. 

Landmark is Australia’s largest distributor of merchandise and fertiliser, with 2000 employees servicing 100,000 clients in our national network of around 400 locations.

AWB GrainFlow Pty Ltd (""Grainflow"") is a subsidiary company of AWB Limited, which commenced operation in 1999. AWB GrainFlow now operates a network of 22 storage centres along the east coast and into South Australia. The focus of these operations has been the efficient and cost effective receival, storage and outturn of large quantities of bulk cereals.

AWB GrainFlow has sought to introduce a strong commercial focus to the grain storage and handling industry. Grower and grain marketer needs are paramount in AWB GrainFlow’s business philosophy.",http://www.awb.com.au/,"1,001-5,000 employees","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",13491,630,https://www.linkedin.com/company/a-world-beneath/,A World Beneath,,11-50 employees,https://www.linkedin.com/company/awb-consulting/,AWB Consulting - Horsa Company,,11-50 employees,https://www.linkedin.com/company/cargill/,Cargill,,"10,001+ employees",https://www.linkedin.com/company/graincorp/,GrainCorp,,"1,001-5,000 employees",https://www.linkedin.com/company/awb-abfallwirtschaftsbetriebe-k%C3%B6ln-gmbh-&-co-kg/,"AWB, Abfallwirtschaftsbetriebe Köln GmbH & Co. KG",,2-10 employees,https://www.linkedin.com/company/awb-bv/,AWB - projectpartner in verwarming,,51-200 employees,2018-10-23T04:06:24.248Z,,,
https://www.linkedin.com/company/bank-of-queensland,https://www.linkedin.com/company/bank-of-queensland,Bank of Queensland,Financial Services,"Thanks for stopping by the BOQ LinkedIn Page! We’re on a mission to become Australia’s most loved bank. No walk in the park, but it’s how we go about things that make it possible. We’ll do it by getting face-to-face, one-to-one and creating real, long-lasting relationships with our customers. Flash-in-the-pan financial arrangements aren’t for us.

Like any close relationship good communication is everything. In fact, getting personal is what we’re all about. Being able to talk to us on social media should be more like chatting with a good friend over coffee.  So feel free to share the love by sharing our posts, ask questions, or tell us what you think of our new look?",http://www.boq.com.au/,"1,001-5,000 employees",https://media.licdn.com/dms/image/C4E0BAQEQyuf38TaBrQ/company-logo_200_200/0?e=1548288000&v=beta&t=wkd5IzdB7oKyg7jG8kjGdMrCFp9jKe_cz_WNQp_JDtg,"19851,3056990,876733,4788175,2974954",2700,https://www.linkedin.com/company/suncorp/,Suncorp Group,,"10,001+ employees",https://www.linkedin.com/company/commonwealthbank/,Commonwealth Bank,,"10,001+ employees",https://www.linkedin.com/company/national-australia-bank/,National Australia Bank,,"10,001+ employees",https://www.linkedin.com/company/anz/,ANZ,,"10,001+ employees",https://www.linkedin.com/company/westpac/,Westpac,,"10,001+ employees",https://www.linkedin.com/company/cua---credit-union-australia-limited/,CUA - Credit Union Australia Limited,,"501-1,000 employees",2018-10-23T04:06:26.022Z,"Newstead, QLD",Personal & Business Banking and Unique Owner-Manager Model,
https://www.linkedin.com/company/billabong,https://www.linkedin.com/company/billabong,Billabong,Apparel & Fashion,"Billabong was founded in 1973 by Gordon and Rena Merchant. The name came from the same word billabong, which is a stagnant body of water attached to a waterway.

In addition to the Billabong brand name, the company sells surf and skate clothing, hardware and accessories under the following brands: RVCA, Honolua Surf,  VonZipper, Xcel Wetsuits, and Element. The brands are available at various surf and skateboard store locations worldwide.

The company has approximately 5,000 staff worldwide and its shares are publicly listed on the Australian Securities Exchange.

Billabong International's products are licensed and distributed in more than 100 countries and are available in approximately 11,000 doors worldwide. Products are distributed through specialized boardsports retailers and through the Company's own branded retail outlets.

The majority of revenue is generated through wholly-owned operations in Australia, North America, Europe, Japan, New Zealand, South Africa and Brazil.

The Company's brands are marketed and promoted internationally through association with high profile professional athletes, junior athletes and events. 

Read more here: http://www.billabongbiz.com

For Jobs at Billabong & Family Brands: http://jobs.bbg-usa.com",http://www.billabong.com/,"5,001-10,000 employees",https://media.licdn.com/dms/image/C560BAQGQ4B3ug60EbQ/company-logo_200_200/0?e=1548288000&v=beta&t=IQnXZ_InpXjwCwEbY3UiBpRn6JwHoA-VSWdF-4Ex7D8,31407,1218,https://www.linkedin.com/company/quiksilver/,Quiksilver,,"1,001-5,000 employees",https://www.linkedin.com/company/hurley/,Hurley,,51-200 employees,https://www.linkedin.com/company/volcom/,VOLCOM,,201-500 employees,https://www.linkedin.com/company/vans/,Vans a Division of VF Outdoor,,"10,001+ employees",https://www.linkedin.com/company/rip-curl/,Rip Curl,,51-200 employees,https://www.linkedin.com/company/nike/,Nike,,"10,001+ employees",2018-10-23T04:06:27.937Z,"Irvine, CA","Surf, Snow and Wake",1973
https://www.linkedin.com/company/cimic-group-limited,https://www.linkedin.com/company/cimic-group-limited,CIMIC Group Limited,Civil Engineering,"CIMIC Group Limited (ASX: CIM) is a world-leading infrastructure, mining, services and public private partnerships group. We have businesses in construction (CPB Contractors and Leighton Asia), mining and mineral processing (Thiess and Sedgman), operation and maintenance services (UGL), public private partnerships (Pacific Partnerships) and engineering (EIC Activities). Our mission is to generate sustainable shareholder returns by delivering innovative and competitive solutions for clients and safe, fulfilling careers for our people.

With a history since 1899, and more than 50,000 people in 20 countries, we strive to be known for our principles of Integrity, Accountability, Innovation and Delivery, underpinned by Safety. CIMIC is a member of the S&P/ASX 100 index, the Dow Jones Sustainability Australia Index and FTSE4Good.

CIMIC also has a 45% investment in HLG Contracting, a 59.11% investment in Devine and a 47% investment in Ventia.

The principles of Integrity, Accountability, Innovation and Delivery underpin CIMIC’s operations. These principles provide a shared language and identity for CIMIC and guide its actions. Each of these principles is underpinned by a continual focus on safety which is fundamental to CIMIC’s operations.",https://www.cimic.com.au/,"10,001+ employees",https://media.licdn.com/dms/image/C4D0BAQFjYeidcgrGng/company-logo_200_200/0?e=1548288000&v=beta&t=jxRzL6H0ZO2JJ9u6tFROI8C0uGPAvr_oVQgYKlW22Oc,"829492,6673205,6374687,1266220",990,https://www.linkedin.com/company/cpb-contractors/,CPB Contractors,,"10,001+ employees",https://www.linkedin.com/company/thiess/,Thiess,,"10,001+ employees",https://www.linkedin.com/company/downer/,Downer,,"10,001+ employees",https://www.linkedin.com/company/lend-lease/,Lendlease,,"10,001+ employees",https://www.linkedin.com/company/john-holland/,John Holland,,"1,001-5,000 employees",https://www.linkedin.com/company/ugl-limited/,UGL,,"5,001-10,000 employees",2018-10-23T04:06:30.064Z,"North Sydney, NSW","Mining, Construction, Maintenance services, Public private partnerships, Engineering, and Mineral processing",1949
